id,str,speed,size,size
1,22.22222222,1.843237827,B,270
2,20,1.40337136,B,275
3,20,1.98274279,A,260
4,11.11111111,3.35346911,B,270
5,0,2.248193405,A,260
6,21.53846154,1.686634042,A,255
7,8.108108108,1.230802757,A,255
8,65,1.278757347,A,240
9,20,1.916573084,A,260
10,61.70212766,0.238815939,B,265
11,66.66666667,2.007685014,B,265
12,15.38461538,1.445889985,C,285
13,0,2.482854857,C,290
14,45.45454545,1.039294902,B,270
15,50,2.094767293,B,275
16,6.41025641,0.862501066,A,260
17,38.46153846,2.008106979,B,270
18,0,2.457834279,B,270
